"TOA5","Estacion San Nicolas","CR200X","-1","CR200X.Std.04","3 Canales CS450 (360 minutos - Rev 05).CR2","65066","Level"
"TIMESTAMP","RECORD","NIvel_Avg"
"TS","RN","meters"
"","","Avg"
"2020-06-01 18:00:00",124,1.328822
"2020-06-02 00:00:00",125,1.40976
"2020-06-02 06:00:00",126,1.449027
"2020-06-02 12:00:00",127,1.40866
"2020-06-02 18:00:00",128,1.388516
"2020-06-03 00:00:00",129,1.351523
"2020-06-03 06:00:00",130,1.352529
"2020-06-03 12:00:00",131,1.320214
"2020-06-03 18:00:00",132,1.296472
"2020-06-04 00:00:00",133,1.293077
"2020-06-04 06:00:00",134,1.417783
"2020-06-04 12:00:00",135,1.468508
"2020-06-04 18:00:00",136,1.539447
"2020-06-05 00:00:00",137,1.522496
"2020-06-05 06:00:00",138,1.538803
"2020-06-05 12:00:00",139,1.525351
"2020-06-05 18:00:00",140,1.498475
"2020-06-06 00:00:00",141,1.470299
"2020-06-06 06:00:00",142,1.487256
"2020-06-06 12:00:00",143,1.552777
"2020-06-06 18:00:00",144,1.678425
"2020-06-07 00:00:00",145,1.692733
"2020-06-07 06:00:00",146,1.697575
"2020-06-07 12:00:00",147,1.703579
"2020-06-07 18:00:00",148,1.704097
"2020-06-08 00:00:00",149,1.698355
"2020-06-08 06:00:00",150,1.640523
"2020-06-08 12:00:00",151,1.598052
"2020-06-08 18:00:00",152,1.568465
"2020-06-09 00:00:00",153,1.576146
"2020-06-09 06:00:00",154,1.532
"2020-06-09 12:00:00",155,1.513218
"2020-06-09 18:00:00",156,1.467522
"2020-06-10 00:00:00",157,1.468082
"2020-06-10 06:00:00",158,1.436772
"2020-06-10 12:00:00",159,1.453097
"2020-06-10 18:00:00",160,1.433192
"2020-06-11 00:00:00",161,1.431713
"2020-06-11 06:00:00",162,1.391205
"2020-06-11 12:00:00",163,1.360482
"2020-06-11 18:00:00",164,1.362691
"2020-06-12 00:00:00",165,1.463653
"2020-06-12 06:00:00",166,1.447465
"2020-06-12 12:00:00",167,1.409012
"2020-06-12 18:00:00",168,1.364169
"2020-06-13 00:00:00",169,1.363649
"2020-06-13 06:00:00",170,1.344284
"2020-06-13 12:00:00",171,1.311262
"2020-06-13 18:00:00",172,1.2906
"2020-06-14 00:00:00",173,1.312605
"2020-06-14 06:00:00",174,1.312339
"2020-06-14 12:00:00",175,1.358871
"2020-06-14 18:00:00",176,1.411561
"2020-06-15 00:00:00",177,1.447142
"2020-06-15 06:00:00",178,1.454791
"2020-06-15 12:00:00",179,1.406573
"2020-06-15 18:00:00",180,1.365662
"2020-06-16 00:00:00",181,1.316426
"2020-06-16 06:00:00",182,1.286332
"2020-06-16 12:00:00",183,1.240907
"2020-06-16 18:00:00",184,1.21764
"2020-06-17 00:00:00",185,1.176407
"2020-06-17 06:00:00",186,1.18049
"2020-06-17 12:00:00",187,1.163906
"2020-06-17 18:00:00",188,1.157381
"2020-06-18 00:00:00",189,1.121108
"2020-06-18 06:00:00",190,1.098125
"2020-06-18 12:00:00",191,1.069378
"2020-06-18 18:00:00",192,1.056558
"2020-06-19 00:00:00",193,1.059979
"2020-06-19 06:00:00",194,1.119772
"2020-06-19 12:00:00",195,1.160531
"2020-06-19 18:00:00",196,1.276206
"2020-06-20 00:00:00",197,1.284403
"2020-06-20 06:00:00",198,1.260748
"2020-06-20 12:00:00",199,1.250011
"2020-06-20 18:00:00",200,1.2896
"2020-06-21 00:00:00",201,1.312251
"2020-06-21 06:00:00",202,1.379585
"2020-06-21 12:00:00",203,1.430732
"2020-06-21 18:00:00",204,1.491595
"2020-06-22 00:00:00",205,1.481053
"2020-06-22 06:00:00",206,1.440859
"2020-06-22 12:00:00",207,1.410131
"2020-06-22 18:00:00",208,1.457456
"2020-06-23 00:00:00",209,1.507221
"2020-06-23 06:00:00",210,1.497779
"2020-06-23 12:00:00",211,1.486101
"2020-06-23 18:00:00",212,1.449059
"2020-06-24 00:00:00",213,1.429427
"2020-06-24 06:00:00",214,1.395821
"2020-06-24 12:00:00",215,1.444928
"2020-06-24 18:00:00",216,1.569667
